airbnb_listing_id,price,ano,mes,dia,latitude,longitude,Address
5.613928885363809e+17,1200.0,2022.0,12.0,7.0,-27.13576,-48.59672,Meia Praia
51861410.0,450.0,2022.0,10.0,13.0,-27.0976,-48.6198,Meia Praia
54102739.0,150.0,2022.0,10.0,29.0,-27.127443,-48.6213,Meia Praia
40989500.0,420.0,2022.0,11.0,7.0,-27.13468,-48.59727,Morretes
7.701668594497357e+17,790.0,2022.0,12.0,7.0,-27.1483,-48.5797,Meia Praia
23078040.0,350.0,2022.0,9.0,26.0,-27.12485,-48.60471,Meia Praia
6.740021208824497e+17,155.0,2022.0,10.0,28.0,-27.12348,-48.60376,Meia Praia
53402694.0,150.0,2022.0,10.0,25.0,-27.10047,-48.61443,Meia Praia
7.652246428795128e+17,1500.0,2022.0,12.0,7.0,-27.157,-48.57626,Centro
47301351.0,920.0,2022.0,11.0,7.0,-27.131,-48.60259,Meia Praia
47274874.0,1000.0,2022.0,11.0,11.0,-27.12479,-48.60567,Meia Praia
51403736.0,130.0,2022.0,10.0,18.0,-27.12566,-48.60746,Meia Praia
52474050.0,100.0,2022.0,10.0,18.0,-27.12652,-48.60601,Meia Praia
7.671211379664247e+17,600.0,2022.0,12.0,3.0,-27.12310250103259,-48.6123313754797,Meia Praia
36632832.0,200.0,2022.0,11.0,4.0,-27.13614,-48.59518,Morretes
27891417.0,172.0,2022.0,10.0,18.0,-27.12368,-48.60495,Meia Praia
46896012.0,350.0,2022.0,11.0,12.0,-27.129829,-48.601929,Meia Praia
40209404.0,289.0,2022.0,6.0,25.0,-27.09006,-48.61213,Meia Praia
42788291.0,150.0,2022.0,10.0,27.0,-27.1196,-48.60703,Centro
52059007.0,1000.0,2022.0,11.0,25.0,-27.09345,-48.61297,Meia Praia
48941838.0,500.0,2022.0,11.0,10.0,-27.09463,-48.61205,Centro
31443878.0,600.0,2022.0,12.0,4.0,-27.13408,-48.59806,Centro
51177541.0,990.0,2022.0,12.0,3.0,-27.1368,-48.59208,Meia Praia
7.064892687967501e+17,460.0,2022.0,11.0,25.0,-27.1269,-48.60229,Meia Praia
6.150478295785715e+17,190.0,2022.0,12.0,5.0,-27.13407,-48.59834,Meia Praia
52615766.0,500.0,2022.0,12.0,5.0,-27.1436,-48.5894,Meia Praia
54074024.0,1800.0,2022.0,10.0,15.0,-27.12183,-48.60558,Meia Praia
5.948570025692212e+17,500900.0,2022.0,11.0,1.0,-27.124537,-48.606159,Meia Praia
7.237303635413613e+17,1000.0,2022.0,11.0,25.0,-27.1337582,-48.6039535,Meia Praia
23678011.0,350.0,2022.0,10.0,24.0,-27.13003,-48.59816,Meia Praia
43827232.0,120.0,2022.0,10.0,28.0,-27.13452,-48.60776,Meia Praia
52798295.0,800.0,2022.0,11.0,7.0,-27.14987,-48.58694,Meia Praia
31308787.0,857.0,2022.0,11.0,23.0,-27.09384,-48.61082,Meia Praia
31115702.0,400.0,2022.0,11.0,26.0,-27.13943,-48.59232,Centro
18735821.0,250.0,2022.0,11.0,5.0,-27.13375,-48.59778,Meia Praia
34477306.0,400.0,2022.0,12.0,3.0,-27.12365,-48.61039,Meia Praia
40324988.0,490.0,2022.0,12.0,2.0,-27.05168,-48.5897,Morretes
7.696151548097152e+17,204.0,2022.0,12.0,6.0,-27.12532,-48.61923,Centro
41658086.0,2076.0,2022.0,10.0,6.0,-27.13219,-48.60826,Morretes
42625075.0,250.0,2022.0,7.0,20.0,-27.12602,-48.60214,Meia Praia
52969803.0,502.0,2022.0,10.0,5.0,-27.0961,-48.61559,Meia Praia
30734478.0,350.0,2022.0,10.0,24.0,-27.12153,-48.61533,Centro
39151183.0,400.0,2022.0,10.0,27.0,-27.13112,-48.59895,Morretes
7.297442236059383e+17,474.0,2022.0,11.0,22.0,-27.1433,-48.59558,Meia Praia
41170693.0,600.0,2022.0,11.0,23.0,-27.13118,-48.604073,Meia Praia
31741842.0,400.0,2022.0,11.0,23.0,-27.15803,-48.57641,Meia Praia
53673395.0,370.0,2022.0,10.0,18.0,-27.13672,-48.60108,Meia Praia
47189324.0,270.0,2022.0,11.0,8.0,-27.14351,-48.59626,Meia Praia
53575381.0,650.0,2022.0,11.0,19.0,-27.13991,-48.59728,Meia Praia
47077220.0,230.0,2022.0,11.0,21.0,-27.13896,-48.60317,Meia Praia
6.998880586984461e+17,1300.0,2022.0,11.0,25.0,-27.13271,-48.59992,Meia Praia
53415208.0,1500.0,2022.0,10.0,26.0,-27.15254,-48.57495,Meia Praia
21025393.0,700.0,2022.0,12.0,7.0,-27.11638,-48.609,Meia Praia
39385517.0,600.0,2022.0,11.0,16.0,-27.13796,-48.59835,Morretes
