ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude,longitude,ano,mes,dia,Address
41082289.0,3,3,8.0,-27.13137,-48.59889,2022.0,9.0,12.0,Meia Praia
48466066.0,2,3,4.0,-27.15335,-48.57277,2022.0,9.0,12.0,Meia Praia
53280294.0,2,2,2.0,-27.138,-48.592,2022.0,9.0,12.0,Meia Praia
22374889.0,2,2,2.0,-27.13146,-48.60699,2022.0,9.0,12.0,Meia Praia
21632405.0,2,3,4.0,-27.13266,-48.59894,2022.0,9.0,12.0,Meia Praia
52417933.0,4,4,4.0,-27.1209,-48.60822,2022.0,9.0,12.0,Morretes
53772254.0,2,2,2.0,-27.11962,-48.61125,2022.0,9.0,12.0,Morretes
23023313.0,2,2,2.0,-27.116,-48.609,2022.0,6.0,13.0,Meia Praia
46704215.0,2,2,2.0,-27.1306,-48.60042,2022.0,9.0,12.0,Meia Praia
36632832.0,2,3,5.0,-27.13614,-48.59518,2022.0,6.0,13.0,Meia Praia
39610744.0,2,3,5.0,-27.13649,-48.59666,2022.0,6.0,13.0,Meia Praia
30756202.0,2,2,3.0,-27.13915,-48.59531,2022.0,9.0,12.0,Centro
54156347.0,1,2,3.0,-27.0922,-48.61135,2022.0,9.0,12.0,Meia Praia
13145799.0,2,2,2.0,-27.12972,-48.60748,2022.0,9.0,12.0,Centro
18287935.0,1,1,2.0,-27.09159,-48.6131,2022.0,9.0,12.0,Meia Praia
47047563.0,2,3,6.0,-27.15276,-48.57562,2022.0,6.0,13.0,Meia Praia
47130787.0,4,3,3.0,-27.13004,-48.60134,2022.0,9.0,12.0,Morretes
15549803.0,3,4,6.0,-27.11511,-48.60905,2022.0,9.0,12.0,Meia Praia
37747080.0,2,2,4.0,-27.129,-48.602,2022.0,9.0,12.0,Meia Praia
30318082.0,3,4,4.0,-27.13588,-48.60028,2022.0,9.0,12.0,Morretes
38899673.0,1,1,2.0,-27.11734,-48.61156,2022.0,6.0,13.0,Meia Praia
7.005814754566803e+17,3,3,0.0,-27.126,-48.605,2022.0,9.0,12.0,Meia Praia
52258145.0,1,1,1.0,-27.12811,-48.60745,2022.0,9.0,12.0,Meia Praia
47593343.0,1,1,1.0,-27.13299,-48.59789,2022.0,6.0,13.0,Morretes
46532180.0,2,2,2.0,-27.11515,-48.61261,2022.0,6.0,13.0,Morretes
31016422.0,2,2,4.0,-27.11823,-48.61192,2022.0,6.0,13.0,Meia Praia
53804551.0,2,1,22.0,-27.15945,-48.56121,2022.0,9.0,12.0,Meia Praia
9327293.0,3,4,6.0,-27.132,-48.597,2022.0,9.0,12.0,Meia Praia
34866449.0,2,3,4.0,-27.1416,-48.59342,2022.0,6.0,13.0,Centro
27865733.0,2,3,5.0,-27.10432,-48.61312,2022.0,9.0,12.0,Meia Praia
41141790.0,2,3,7.0,-27.13373,-48.59798,2022.0,9.0,12.0,Meia Praia
15706749.0,2,2,5.0,-27.13198,-48.59814,2022.0,9.0,12.0,Meia Praia
47441042.0,2,3,4.0,-27.14001,-48.59255,2022.0,9.0,12.0,Meia Praia
47534961.0,2,2,2.0,-27.13407,-48.60054,2022.0,9.0,12.0,Meia Praia
38447436.0,2,3,5.0,-27.13797,-48.59189,2022.0,9.0,12.0,Meia Praia
41408275.0,1,1,0.0,-27.13613,-48.60259,2022.0,9.0,12.0,Meia Praia
29518544.0,2,2,3.0,-27.09443,-48.61853,2022.0,9.0,12.0,Meia Praia
49050392.0,2,3,3.0,-27.13206,-48.59931,2022.0,9.0,12.0,Meia Praia
40482082.0,3,2,2.0,-27.1367,-48.59656,2022.0,9.0,12.0,Meia Praia
43379132.0,2,3,4.0,-27.12536,-48.60169,2022.0,6.0,13.0,Meia Praia
16730935.0,1,1,1.0,-27.1357,-48.6002,2022.0,6.0,13.0,Meia Praia
39589039.0,1,1,1.0,-27.14295,-48.59473,2022.0,9.0,12.0,Morretes
21025393.0,3,3,4.0,-27.11638,-48.609,2022.0,9.0,12.0,Meia Praia
26895628.0,3,4,5.0,-27.133,-48.597,2022.0,9.0,12.0,Meia Praia
46407747.0,4,3,7.0,-27.14125,-48.59126,2022.0,9.0,12.0,Centro
45757663.0,3,5,9.0,-27.10653,-48.61189,2022.0,9.0,12.0,Meia Praia
41478160.0,2,2,1.0,-27.13392,-48.60126,2022.0,9.0,12.0,Morretes
38548630.0,2,3,3.0,-27.11461,-48.60837,2022.0,9.0,12.0,Meia Praia
52426754.0,2,3,4.0,-27.12289,-48.60754,2022.0,9.0,12.0,Meia Praia
6.832545463292147e+17,3,3,4.0,-27.14044,-48.59421,2022.0,9.0,12.0,Meia Praia
20740151.0,1,4,5.0,-27.13196,-48.59937,2022.0,9.0,12.0,Meia Praia
47234437.0,2,2,2.0,-27.14118,-48.59395,2022.0,9.0,12.0,Morretes
37684935.0,1,1,1.0,-27.13149,-48.61714,2022.0,9.0,12.0,Meia Praia
6.781323634419062e+17,3,4,4.0,-27.123,-48.606,2022.0,10.0,8.0,Meia Praia
53592110.0,3,4,6.0,-27.1235,-48.60683,2022.0,10.0,8.0,Centro
21792285.0,2,2,3.0,-27.10913,-48.61684,2022.0,10.0,8.0,Meia Praia
28160414.0,2,3,3.0,-27.10648,-48.61294,2022.0,10.0,8.0,Morretes
17570590.0,3,4,6.0,-27.13702,-48.59364,2022.0,10.0,8.0,Meia Praia
5.805893817119731e+17,2,2,3.0,-27.12061,-48.60943,2022.0,10.0,8.0,Morretes
